61;3;2;0;sea;true;ocean;0
62;19;22;9;sea;false;ocean;0
63;13;49;4;sea;false;ocean;0
64;14;3;75;sea;false;ocean;0
65;58;5;12;sea;true;ocean;0
66;41;54;2;sea;false;ocean;0
67;45;39;10;sea;true;ocean;0
68;32;42;1;sea;false;ocean;0
69;17;7;65;sea;false;ocean;0
70;3;60;2;sea;false;ocean;0
71;32;53;0;sea;false;ocean;0
72;23;59;2;sea;false;ocean;0
73;24;35;27;sea;true;ocean;0
74;65;0;28;sea;true;ocean;0
75;40;4;16;sea;false;ocean;0
76;10;50;32;sea;false;ocean;0
77;20;46;5;sea;false;ocean;0
78;23;37;22;sea;false;ocean;0
79;0;53;40;sea;false;ocean;0
80;24;37;35;sea;false;ocean;0
81;19;23;6;sea;false;ocean;0
82;30;47;6;sea;false;ocean;0
83;11;51;25;sea;true;ocean;0
84;0;8;23;sea;true;ocean;0
85;0;77;3;sea;true;ocean;0
86;2;34;11;sea;false;ocean;0
87;25;37;14;sea;false;ocean;0
88;17;53;9;sea;false;ocean;0
89;24;56;11;sea;false;ocean;0
90;13;22;64;sea;false;ocean;0
91;66;14;7;sea;false;ocean;0
92;50;10;24;sea;false;ocean;0
93;8;61;7;sea;false;ocean;0
94;31;15;34;sea;false;ocean;0
95;5;43;24;sea;false;ocean;0
96;23;15;43;sea;false;ocean;0
97;7;23;53;sea;true;ocean;0
98;35;17;37;sea;true;ocean;0
99;13;32;3;sea;false;ocean;0
100;38;49;6;sea;false;ocean;0
101;7;30;36;sea;false;ocean;0
102;9;13;3;sea;true;ocean;0
103;10;11;23;sea;false;ocean;0
104;2;50;0;sea;true;ocean;0
105;12;26;60;sea;true;ocean;0
106;8;14;38;sea;false;ocean;0
107;2;30;42;sea;false;ocean;0
108;2;28;32;sea;false;ocean;0
109;6;44;0;sea;false;ocean;0
110;40;20;33;sea;false;ocean;0
111;12;25;23;sea;false;ocean;0
112;49;36;2;sea;true;ocean;0
113;7;29;52;sea;false;ocean;0
114;62;21;14;sea;false;ocean;0
115;16;28;50;sea;false;ocean;0
116;32;13;51;sea;false;ocean;0
117;24;26;16;sea;false;ocean;0
118;55;19;0;sea;false;ocean;0
119;28;43;21;sea;false;ocean;0
120;48;9;11;sea;false;ocean;0
121;5;17;76;sea;false;ocean;0
122;57;5;36;sea;true;ocean;0
123;6;8;64;sea;false;ocean;0
124;17;12;66;sea;false;ocean;0
125;31;21;33;sea;false;ocean;0
126;9;44;5;sea;false;ocean;0
127;31;13;17;sea;false;ocean;0
128;35;18;46;sea;false;ocean;0
129;23;49;6;sea;false;ocean;0
130;25;5;53;sea;false;ocean;0
131;33;48;12;sea;false;ocean;0
132;14;39;27;sea;false;ocean;0
133;61;21;16;sea;false;ocean;0
134;52;25;0;sea;true;ocean;0
135;67;12;7;sea;false;ocean;0
136;35;22;33;sea;false;ocean;0
137;29;0;48;sea;false;ocean;0
138;3;17;47;sea;false;ocean;0
139;24;51;1;sea;false;ocean;0
140;12;62;11;sea;false;ocean;0
141;4;33;3;sea;false;ocean;0
142;36;43;11;sea;false;ocean;0
143;4;20;24;sea;false;ocean;0
144;30;6;20;sea;false;ocean;0
145;9;33;13;sea;true;ocean;0
146;4;37;3;sea;false;ocean;0
147;12;19;23;sea;true;ocean;0
148;20;52;0;sea;false;ocean;0
149;33;26;27;sea;false;ocean;0
150;56;27;5;sea;false;ocean;0
151;3;52;37;sea;false;ocean;0
152;27;36;27;sea;false;ocean;0
153;42;42;6;sea;false;ocean;0
154;0;17;81;sea;false;ocean;0
155;21;60;15;sea;true;ocean;0
156;28;3;25;sea;true;ocean;0
157;23;74;2;sea;false;ocean;0
158;61;1;27;sea;false;ocean;0
159;13;3;78;sea;false;ocean;0
160;72;0;13;sea;false;ocean;0
161;24;14;40;sea;false;ocean;0
162;34;38;12;sea;true;ocean;0
163;17;13;62;sea;false;ocean;0
164;1;49;40;sea;false;ocean;0
165;3;30;58;sea;false;ocean;0
166;12;31;16;sea;false;ocean;0
167;33;22;37;sea;false;ocean;0
168;22;33;13;sea;false;ocean;0
169;20;5;67;sea;true;ocean;0
170;31;29;31;sea;true;ocean;0
171;10;57;10;sea;false;ocean;0
172;57;7;9;sea;false;ocean;0
173;65;14;2;sea;false;ocean;0
174;25;26;48;sea;false;ocean;0
175;68;3;8;sea;false;ocean;0
176;93;0;3;sea;true;ocean;0
177;62;0;15;sea;true;ocean;0
178;17;18;45;sea;false;ocean;0
179;58;8;23;sea;false;ocean;0
180;27;3;61;sea;true;ocean;0
181;27;42;24;sea;false;ocean;0
182;21;28;38;sea;false;ocean;0
183;5;10;40;sea;false;ocean;0
184;3;14;41;sea;false;ocean;0
185;29;5;49;sea;true;ocean;0
186;28;24;12;sea;false;ocean;0
187;48;6;34;sea;false;ocean;0
188;17;11;22;sea;false;ocean;0
189;36;48;2;sea;false;ocean;0
190;35;3;39;sea;false;ocean;0
191;22;20;29;sea;true;ocean;0
192;61;10;11;sea;false;ocean;0
193;15;19;8;sea;false;ocean;0
194;13;44;11;sea;true;ocean;0
195;11;26;31;sea;true;ocean;0
196;15;19;32;sea;false;ocean;0
197;16;39;12;sea;false;ocean;0
198;66;10;11;sea;true;ocean;0
199;8;55;0;sea;false;ocean;0
200;1;20;14;sea;false;ocean;0
201;23;1;71;sea;false;ocean;0
202;46;49;0;sea;true;ocean;0
203;6;12;31;sea;false;ocean;0
204;36;41;22;sea;false;ocean;0
205;36;37;2;sea;false;ocean;0
206;31;21;42;sea;false;ocean;0
207;3;26;12;sea;false;ocean;0
208;2;56;13;sea;false;ocean;0
209;39;6;50;sea;true;ocean;0
210;0;91;7;sea;true;ocean;0
211;3;56;6;sea;true;ocean;0
212;5;25;36;sea;false;ocean;0
213;1;48;9;sea;true;ocean;0
214;16;20;49;sea;false;ocean;0
215;82;4;3;sea;true;ocean;0
216;19;40;13;sea;true;ocean;0
217;22;27;17;sea;false;ocean;0
218;11;48;27;sea;true;ocean;0
219;15;60;13;sea;true;ocean;0
220;43;4;50;sea;true;ocean;0
221;71;8;10;sea;false;ocean;0
222;38;32;10;sea;true;ocean;0
223;32;41;24;sea;false;ocean;0
224;52;19;20;sea;true;ocean;0
225;8;12;32;sea;true;ocean;0
226;7;18;30;sea;false;ocean;0
227;9;18;58;sea;false;ocean;0
228;28;38;12;sea;true;ocean;0
229;3;61;4;sea;true;ocean;0
230;16;50;9;sea;false;ocean;0
231;21;41;17;sea;false;ocean;0
232;35;17;26;sea;false;ocean;0
233;10;32;39;sea;false;ocean;0
234;52;24;11;sea;false;ocean;0
235;50;35;9;sea;false;ocean;0
236;12;18;28;sea;true;ocean;0
237;30;16;23;sea;false;ocean;0
238;53;3;39;sea;false;ocean;0
239;12;18;13;sea;true;ocean;0
240;2;23;24;sea;false;ocean;0
241;10;30;1;sea;false;ocean;0
242;10;7;51;sea;true;ocean;0
243;5;35;14;sea;true;ocean;0
244;23;35;24;sea;false;ocean;0
245;62;5;29;sea;true;ocean;0
246;48;14;31;sea;false;ocean;0
247;19;21;33;sea;true;ocean;0
248;47;23;21;sea;false;ocean;0
249;6;18;33;sea;false;ocean;0
250;33;48;3;sea;false;ocean;0
251;70;11;14;sea;false;ocean;0
252;25;2;29;sea;true;ocean;0
253;2;16;46;sea;true;ocean;0
254;34;11;39;sea;false;ocean;0
255;25;4;10;sea;false;ocean;0
256;32;23;23;sea;false;ocean;0
257;12;25;29;sea;false;ocean;0
258;51;25;12;sea;false;ocean;0
259;7;32;35;sea;false;ocean;0
260;16;47;5;sea;false;ocean;0
261;16;27;34;sea;false;ocean;0
262;6;54;36;sea;false;ocean;0
263;1;29;33;sea;false;ocean;0
264;37;5;1;sea;true;ocean;0
265;10;6;37;sea;false;ocean;0
266;0;28;5;sea;false;ocean;0
267;10;26;52;sea;false;ocean;0
268;0;50;20;sea;true;ocean;0
269;2;51;27;sea;false;ocean;0
270;16;11;12;sea;false;ocean;0
271;29;36;8;sea;true;ocean;0
272;10;14;48;sea;false;ocean;0
273;29;9;47;sea;true;ocean;0
274;26;54;8;sea;false;ocean;0
275;84;6;6;sea;false;ocean;0
276;36;50;1;sea;false;ocean;0
277;0;44;4;sea;true;ocean;0
278;33;28;12;sea;true;ocean;0
279;12;5;9;sea;false;ocean;0
280;5;23;48;sea;true;ocean;0
281;48;28;15;sea;false;ocean;0
282;58;7;22;sea;false;ocean;0
283;35;55;2;sea;false;ocean;0
284;13;53;14;sea;true;ocean;0
285;70;0;0;sea;false;ocean;0
286;1;8;11;sea;false;ocean;0
287;89;4;2;sea;true;ocean;0
288;5;4;22;sea;true;ocean;0
289;20;5;50;sea;false;ocean;0
290;55;3;31;sea;true;ocean;0
291;44;6;23;sea;false;ocean;0
292;26;14;45;sea;false;ocean;0
293;50;13;0;sea;false;ocean;0
294;42;24;13;sea;false;ocean;0
295;21;21;35;sea;true;ocean;0
296;19;27;2;sea;false;ocean;0
297;63;12;19;sea;false;ocean;0
298;15;33;40;sea;false;ocean;0
299;58;15;12;sea;true;ocean;0
300;20;6;73;sea;false;ocean;0
301;18;21;59;sea;false;ocean;0
302;67;16;13;sea;false;ocean;0
303;8;36;39;sea;false;ocean;0
304;18;52;27;sea;false;ocean;0
305;7;35;28;sea;true;ocean;0
306;25;6;27;sea;false;ocean;0
307;46;23;6;sea;true;ocean;0
308;25;56;13;sea;true;ocean;0
309;5;40;0;sea;false;ocean;0
310;1;26;14;sea;false;ocean;0
311;1;6;10;sea;false;ocean;0
312;18;27;17;sea;false;ocean;0
313;2;14;59;sea;true;ocean;0
314;57;8;26;sea;false;ocean;0
315;11;68;5;sea;false;ocean;0
316;13;23;33;sea;false;ocean;0
317;12;2;18;sea;true;ocean;0
318;2;49;10;sea;false;ocean;0
319;19;27;35;sea;false;ocean;0
320;31;48;6;sea;true;ocean;0
321;32;27;20;sea;false;ocean;0
322;7;3;65;sea;false;ocean;0
323;2;66;0;sea;true;ocean;0
324;11;34;38;sea;true;ocean;0
325;1;34;43;sea;false;ocean;0
326;41;13;32;sea;false;ocean;0
327;20;5;27;sea;true;ocean;0
328;49;17;27;sea;true;ocean;0
329;40;39;3;sea;true;ocean;0
330;18;66;15;sea;false;ocean;0
331;75;0;5;sea;false;ocean;0
332;17;2;35;sea;true;ocean;0
333;62;32;0;sea;false;ocean;0
334;16;32;39;sea;false;ocean;0
335;4;9;10;sea;false;ocean;0
336;31;7;18;sea;false;ocean;0
337;13;4;26;sea;false;ocean;0
338;20;21;30;sea;false;ocean;0
339;22;22;38;sea;false;ocean;0
340;33;5;28;sea;false;ocean;0
341;8;13;41;sea;true;ocean;0
342;25;15;56;sea;false;ocean;0
343;38;1;38;sea;true;ocean;0
344;11;19;49;sea;false;ocean;0
345;30;4;46;sea;true;ocean;0
346;58;21;1;sea;true;ocean;0
347;37;18;11;sea;false;ocean;0
348;26;3;53;sea;false;ocean;0
349;17;32;10;sea;false;ocean;0
350;48;29;0;sea;false;ocean;0
351;26;19;8;sea;true;ocean;0
352;21;36;40;sea;true;ocean;0
353;65;8;8;sea;true;ocean;0
354;50;5;41;sea;true;ocean;0
355;12;43;8;sea;false;ocean;0
356;24;44;7;sea;true;ocean;0
357;8;5;57;sea;false;ocean;0
358;57;20;11;sea;true;ocean;0
359;7;34;28;sea;false;ocean;0
360;7;6;47;sea;false;ocean;0
361;38;40;15;sea;true;ocean;0
362;3;48;24;sea;true;ocean;0
363;24;14;33;sea;false;ocean;0
364;28;33;14;sea;true;ocean;0
365;32;22;0;sea;true;ocean;0
366;18;34;14;sea;false;ocean;0
367;2;6;48;sea;false;ocean;0
368;30;22;34;sea;false;ocean;0
369;7;46;9;sea;false;ocean;0
370;16;6;0;sea;true;ocean;0
371;25;38;27;sea;true;ocean;0
372;37;0;49;sea;false;ocean;0
373;23;49;14;sea;false;ocean;0
374;15;57;18;sea;true;ocean;0
375;48;30;20;sea;false;ocean;0
376;81;3;7;sea;false;ocean;0
377;29;65;1;sea;false;ocean;0
378;21;35;39;sea;false;ocean;0
379;36;32;14;sea;false;ocean;0
380;12;0;71;sea;true;ocean;0
381;4;42;44;sea;false;ocean;0
382;6;3;59;sea;false;ocean;0
383;4;3;49;sea;false;ocean;0
384;25;10;59;sea;false;ocean;0
385;22;40;35;sea;false;ocean;0
386;20;23;15;sea;true;ocean;0
387;1;7;27;sea;true;ocean;0
388;52;22;13;sea;true;ocean;0
389;51;11;23;sea;false;ocean;0
390;47;21;7;sea;true;ocean;0
391;61;24;0;sea;false;ocean;0
392;22;48;7;sea;false;ocean;0
393;16;4;26;sea;false;ocean;0
394;31;8;12;sea;true;ocean;0
395;7;29;26;sea;false;ocean;0
396;47;3;19;sea;false;ocean;0
397;48;24;27;sea;false;ocean;0
398;3;24;15;sea;false;ocean;0
399;21;13;49;sea;false;ocean;0
400;29;14;52;sea;false;ocean;0
401;32;9;20;sea;false;ocean;0
402;18;41;9;sea;true;ocean;0
403;5;12;8;sea;true;ocean;0
404;7;74;16;sea;false;ocean;0
405;22;47;13;sea;false;ocean;0
406;12;37;50;sea;false;ocean;0
407;20;11;12;sea;false;ocean;0
408;9;30;11;sea;false;ocean;0
409;23;62;11;sea;false;ocean;0
410;43;21;18;sea;false;ocean;0
411;23;16;60;sea;false;ocean;0
412;2;27;32;sea;false;ocean;0
413;6;44;26;sea;true;ocean;0
414;51;18;21;sea;true;ocean;0
415;34;34;30;sea;false;ocean;0
416;27;37;34;sea;false;ocean;0
417;4;8;85;sea;false;ocean;0
418;20;10;27;sea;false;ocean;0
419;19;15;22;sea;false;ocean;0
420;31;2;39;sea;true;ocean;0
421;10;18;63;sea;true;ocean;0
422;91;0;5;sea;false;ocean;0
423;12;32;38;sea;false;ocean;0
424;42;1;26;sea;true;ocean;0
425;13;27;13;sea;true;ocean;0
426;8;22;4;sea;true;ocean;0
427;4;83;7;sea;true;ocean;0
428;49;6;2;sea;true;ocean;0
429;29;42;28;sea;false;ocean;0
430;17;54;1;sea;false;ocean;0
431;33;27;27;sea;false;ocean;0
432;9;5;35;sea;true;ocean;0
433;7;18;40;sea;true;ocean;0
434;23;12;25;sea;false;ocean;0
435;37;4;19;sea;true;ocean;0
436;5;2;19;sea;false;ocean;0
437;21;36;18;sea;true;ocean;0
438;4;34;33;sea;false;ocean;0
439;34;40;11;sea;true;ocean;0
440;36;2;25;sea;false;ocean;0
441;44;18;29;sea;true;ocean;0
442;20;0;46;sea;true;ocean;0
443;61;0;2;sea;true;ocean;0
444;11;8;17;sea;true;ocean;0
445;85;1;11;sea;false;ocean;0
446;67;12;12;sea;false;ocean;0
447;18;46;25;sea;false;ocean;0
448;4;56;21;sea;false;ocean;0
449;33;50;8;sea;true;ocean;0
450;17;20;9;sea;false;ocean;0
451;23;6;65;sea;false;ocean;0
452;26;17;37;sea;true;ocean;0
453;14;54;4;sea;false;ocean;0
454;22;27;14;sea;false;ocean;0
455;5;31;3;sea;true;ocean;0
456;1;21;34;sea;true;ocean;0
457;0;10;53;sea;false;ocean;0
458;19;2;33;sea;true;ocean;0
459;2;25;22;sea;false;ocean;0
460;0;10;5;sea;true;ocean;0
461;10;1;38;sea;true;ocean;0
462;16;43;34;sea;false;ocean;0
463;26;27;40;sea;true;ocean;0
464;56;32;2;sea;true;ocean;0
465;18;5;62;sea;false;ocean;0
466;9;17;14;sea;false;ocean;0
467;57;0;35;sea;false;ocean;0
468;10;18;26;sea;false;ocean;0
469;20;22;18;sea;true;ocean;0
470;13;21;40;sea;true;ocean;0
471;32;22;7;sea;false;ocean;0
472;24;27;4;sea;true;ocean;0
473;3;10;35;sea;true;ocean;0
474;5;5;76;sea;false;ocean;0
475;63;2;19;sea;false;ocean;0
476;1;85;5;sea;false;ocean;0
477;41;17;1;sea;false;ocean;0
478;18;24;5;sea;false;ocean;0
479;40;5;22;sea;true;ocean;0
480;14;71;1;sea;false;ocean;0
481;25;19;17;sea;false;ocean;0
482;4;26;12;sea;false;ocean;0
483;2;37;22;sea;false;ocean;0
484;17;1;72;sea;false;ocean;0
485;4;16;27;sea;true;ocean;0
486;30;0;31;sea;false;ocean;0
487;56;7;35;sea;true;ocean;0
488;62;30;6;sea;true;ocean;0
489;73;16;7;sea;true;ocean;0
490;20;8;54;sea;true;ocean;0
491;4;7;18;sea;false;ocean;0
492;75;6;5;sea;false;ocean;0
493;49;37;9;sea;false;ocean;0
494;1;1;38;sea;false;ocean;0
495;3;51;31;sea;true;ocean;0
496;44;34;11;sea;false;ocean;0
497;4;6;54;sea;true;ocean;0
498;17;42;36;sea;false;ocean;0
499;8;19;50;sea;true;ocean;0
500;14;12;15;sea;false;ocean;0
501;20;39;2;sea;true;ocean;0
502;76;5;7;sea;true;ocean;0
503;13;64;7;sea;false;ocean;0
504;34;11;51;sea;false;ocean;0
505;36;36;16;sea;true;ocean;0
506;53;1;41;sea;true;ocean;0
507;5;75;12;sea;false;ocean;0
508;26;4;18;sea;false;ocean;0
509;32;10;11;sea;true;ocean;0
510;1;71;14;sea;false;ocean;0
511;0;34;59;sea;false;ocean;0
512;47;17;23;sea;true;ocean;0
513;11;67;6;sea;false;ocean;0
514;36;41;0;sea;false;ocean;0
515;51;5;30;sea;false;ocean;0
516;0;88;8;sea;true;ocean;0
517;52;14;18;sea;false;ocean;0
518;13;8;56;sea;false;ocean;0
519;20;28;15;sea;false;ocean;0
520;20;9;28;sea;true;ocean;0
521;9;39;35;sea;false;ocean;0
522;15;29;14;sea;true;ocean;0
523;17;35;41;sea;true;ocean;0
524;36;45;10;sea;true;ocean;0
525;16;44;7;sea;false;ocean;0
526;3;11;38;sea;true;ocean;0
527;6;6;39;sea;true;ocean;0
528;68;4;24;sea;true;ocean;0
529;6;64;21;sea;false;ocean;0
530;45;13;0;sea;true;ocean;0
531;18;43;14;sea;false;ocean;0
532;5;10;28;sea;false;ocean;0
533;12;31;14;sea;false;ocean;0
534;13;18;66;sea;true;ocean;0
535;1;15;5;sea;false;ocean;0
536;7;6;14;sea;true;ocean;0
537;19;65;9;sea;false;ocean;0
538;47;5;45;sea;false;ocean;0
539;58;7;3;sea;false;ocean;0
540;10;54;2;sea;false;ocean;0
541;6;63;17;sea;false;ocean;0
542;18;48;8;sea;false;ocean;0
543;49;4;31;sea;false;ocean;0
544;9;85;0;sea;false;ocean;0
545;4;45;21;sea;true;ocean;0
546;3;35;56;sea;false;ocean;0
547;50;6;3;sea;false;ocean;0
548;7;13;7;sea;false;ocean;0
549;5;1;26;sea;true;ocean;0
550;24;41;23;sea;false;ocean;0
551;60;3;17;sea;false;ocean;0
552;50;22;23;sea;false;ocean;0
553;61;11;18;sea;true;ocean;0
554;1;87;11;sea;true;ocean;0
555;31;7;12;sea;true;ocean;0
556;17;1;62;sea;false;ocean;0
557;41;6;10;sea;false;ocean;0
558;23;7;68;sea;false;ocean;0
559;12;22;22;sea;true;ocean;0
560;1;61;30;sea;true;ocean;0
561;24;4;37;sea;false;ocean;0
562;7;16;35;sea;true;ocean;0
563;35;22;16;sea;false;ocean;0
564;51;15;8;sea;false;ocean;0
565;86;5;2;sea;false;ocean;0
566;6;62;23;sea;false;ocean;0
567;28;21;7;sea;false;ocean;0
568;42;36;18;sea;false;ocean;0
569;16;41;5;sea;false;ocean;0
570;50;1;24;sea;true;ocean;0
571;56;27;3;sea;true;ocean;0
572;2;31;65;sea;false;ocean;0
573;30;46;13;sea;false;ocean;0
574;10;10;62;sea;false;ocean;0
575;3;60;22;sea;false;ocean;0
576;54;8;22;sea;true;ocean;0
577;2;6;41;sea;true;ocean;0
578;2;28;68;sea;true;ocean;0
579;43;41;13;sea;false;ocean;0
580;30;11;41;sea;false;ocean;0
581;15;47;18;sea;false;ocean;0
582;74;16;2;sea;false;ocean;0
583;81;7;2;sea;false;ocean;0
584;9;8;66;sea;true;ocean;0
585;32;27;13;sea;false;ocean;0
586;35;8;47;sea;false;ocean;0
587;20;8;30;sea;false;ocean;0
588;61;3;1;sea;false;ocean;0
589;2;14;53;sea;false;ocean;0
590;12;53;31;sea;false;ocean;0
591;49;2;6;sea;true;ocean;0
592;47;35;6;sea;false;ocean;0
593;2;66;3;sea;false;ocean;0
594;47;7;35;sea;true;ocean;0
595;15;15;30;sea;true;ocean;0
596;59;19;6;sea;true;ocean;0
597;28;37;2;sea;false;ocean;0
598;23;35;39;sea;false;ocean;0
599;9;65;19;sea;false;ocean;0
600;22;51;18;sea;false;ocean;0
601;19;13;53;sea;true;ocean;0
602;7;3;37;sea;true;ocean;0
603;7;3;88;sea;true;ocean;0
604;12;5;16;sea;false;ocean;0
605;23;7;60;sea;false;ocean;0
606;0;9;62;sea;true;ocean;0
607;3;22;25;sea;true;ocean;0
608;17;38;16;sea;false;ocean;0
609;57;20;6;sea;true;ocean;0
610;90;1;7;sea;false;ocean;0
611;52;16;9;sea;false;ocean;0
612;8;30;5;sea;false;ocean;0
613;18;52;2;sea;false;ocean;0
614;10;30;42;sea;false;ocean;0
615;28;8;57;sea;true;ocean;0
616;39;19;26;sea;true;ocean;0
617;54;2;7;sea;false;ocean;0
618;29;10;32;sea;false;ocean;0
619;1;20;40;sea;true;ocean;0
620;5;33;51;sea;true;ocean;0
621;4;48;39;sea;false;ocean;0
622;59;15;5;sea;false;ocean;0
623;41;33;16;sea;true;ocean;0
624;18;51;16;sea;false;ocean;0
625;24;38;9;sea;false;ocean;0
626;19;10;51;sea;false;ocean;0
627;25;21;30;sea;false;ocean;0
628;38;36;22;sea;true;ocean;0
629;23;56;11;sea;false;ocean;0
630;34;18;36;sea;true;ocean;0
631;20;50;24;sea;true;ocean;0
632;22;48;11;sea;false;ocean;0
633;63;11;19;sea;false;ocean;0
634;61;22;12;sea;false;ocean;0
635;6;50;22;sea;true;ocean;0
636;0;35;13;sea;true;ocean;0
637;15;26;22;sea;false;ocean;0
638;10;1;41;sea;false;ocean;0
639;47;47;3;sea;true;ocean;0
640;54;2;32;sea;true;ocean;0
641;62;1;28;sea;true;ocean;0
642;2;28;22;sea;true;ocean;0
643;36;24;26;sea;true;ocean;0
644;22;4;45;sea;false;ocean;0
645;36;12;12;sea;true;ocean;0
646;36;41;6;sea;false;ocean;0
647;61;0;15;sea;false;ocean;0
648;29;27;25;sea;false;ocean;0
649;32;35;14;sea;false;ocean;0
650;7;39;38;sea;false;ocean;0
651;5;81;10;sea;false;ocean;0
652;9;19;49;sea;false;ocean;0
653;12;25;1;sea;false;ocean;0
654;1;11;11;sea;true;ocean;0
655;3;68;4;sea;true;ocean;0
656;12;8;44;sea;true;ocean;0
657;30;7;47;sea;false;ocean;0
658;35;14;19;sea;false;ocean;0
659;27;9;51;sea;true;ocean;0
660;8;0;42;sea;true;ocean;0
661;22;9;40;sea;false;ocean;0
662;60;8;30;sea;false;ocean;0
663;3;21;32;sea;false;ocean;0
664;6;56;32;sea;true;ocean;0
665;28;64;5;sea;false;ocean;0
666;7;41;6;sea;false;ocean;0
667;15;8;18;sea;false;ocean;0
668;50;47;2;sea;true;ocean;0
669;2;16;67;sea;false;ocean;0
670;64;15;15;sea;false;ocean;0
671;6;6;12;sea;true;ocean;0
672;16;8;37;sea;false;ocean;0
673;0;19;45;sea;false;ocean;0
674;54;26;5;sea;true;ocean;0
675;17;2;64;sea;false;ocean;0
676;57;14;26;sea;true;ocean;0
677;2;0;76;sea;true;ocean;0
678;22;31;12;sea;false;ocean;0
679;27;2;21;sea;true;ocean;0
680;3;0;10;sea;false;ocean;0
681;27;29;27;sea;false;ocean;0
682;17;66;10;sea;false;ocean;0
683;54;33;0;sea;true;ocean;0
684;24;1;1;sea;false;ocean;0
685;40;16;28;sea;true;ocean;0
686;6;38;2;sea;false;ocean;0
687;40;19;4;sea;false;ocean;0
688;25;1;47;sea;false;ocean;0
689;2;5;20;sea;true;ocean;0
690;5;25;14;sea;true;ocean;0
691;8;69;1;sea;false;ocean;0
692;1;65;6;sea;true;ocean;0
693;0;71;24;sea;true;ocean;0
694;26;33;20;sea;false;ocean;0
695;26;1;16;sea;true;ocean;0
696;44;37;11;sea;false;ocean;0
697;62;10;6;sea;true;ocean;0
698;0;21;74;sea;false;ocean;0
699;19;20;6;sea;false;ocean;0
700;5;6;85;sea;false;ocean;0
701;45;18;5;sea;true;ocean;0
702;39;9;17;sea;false;ocean;0
703;33;16;33;sea;true;ocean;0
704;4;3;32;sea;false;ocean;0
705;72;22;5;sea;false;ocean;0
706;53;1;9;sea;true;ocean;0
707;30;15;26;sea;true;ocean;0
708;37;55;1;sea;true;ocean;0
709;28;1;15;sea;false;ocean;0
710;7;24;49;sea;false;ocean;0
711;61;5;6;sea;false;ocean;0
712;72;4;4;sea;false;ocean;0
713;68;26;3;sea;true;ocean;0
714;16;6;16;sea;true;ocean;0
715;12;1;0;sea;false;ocean;0
716;22;60;1;sea;false;ocean;0
717;27;16;0;sea;true;ocean;0
718;0;27;31;sea;true;ocean;0
719;12;44;14;sea;false;ocean;0
720;8;45;1;sea;false;ocean;0
721;30;8;22;sea;false;ocean;0
722;0;40;24;sea;false;ocean;0
723;27;30;0;sea;false;ocean;0
724;0;52;43;sea;true;ocean;0
725;52;9;5;sea;false;ocean;0
726;22;17;59;sea;true;ocean;0
727;53;10;20;sea;false;ocean;0
728;7;28;34;sea;false;ocean;0
729;15;35;20;sea;true;ocean;0
730;19;27;48;sea;true;ocean;0
731;3;34;37;sea;true;ocean;0
732;25;64;9;sea;true;ocean;0
733;12;52;19;sea;false;ocean;0
734;17;6;7;sea;true;ocean;0
735;27;19;49;sea;false;ocean;0
